frequency,runtime_sec,peak_memory_mb,success,error,max_dynamic_lat,max_curvature,max_torsion,end_to_end_distance,S_lat,cobb_angle,z_tip,x_tip,y_tip,bending_energy,shear_energy,translational_energy,rotational_energy,gravitational_energy
0.5,3.013432502746582,0.2555351257324219,True,,0.0021303159465158937,28.032714630813857,0.07055201382846293,0.33562989111145575,0.006378816786717351,0.44796884076479443,0.33396725721169224,0.0021303159465158937,0.03329799801722451,0.01993287868539495,0.00043940628040713,3.849262771090584e-05,3.68505432922652e-08,0.2063660140884635
0.75,3.049360990524292,0.253173828125,True,,0.0016269966688369233,29.021666715608838,0.050469512578426974,0.32982606892662436,0.003880042687788917,0.439693509249592,0.3281308282623292,0.0012731616208373714,0.0333732579613588,0.021115574164317082,0.00045583954566870926,3.72930405281593e-05,3.1979926001776025e-08,0.20258325874644448
1.0,3.0276591777801514,0.25230979919433594,True,,0.0013440724009278235,28.198914807201806,0.05461869106128242,0.3343939123252231,0.002887942524166204,0.36674057560343143,0.33269806349552694,0.0009608128852764801,0.033620886143806684,0.019936507246623988,0.0004378495100805437,4.056120514202351e-05,3.486564731224323e-08,0.20557547010802057
1.25,3.0058696269989014,0.25216102600097656,True,,0.0014328137388413499,28.89130167816594,0.08015485043794839,0.33070583580635826,0.0043547643048200396,0.3201501376349138,0.329022109705329,0.0014328137388413499,0.033297870896293304,0.020879150990109036,0.0004580980792033825,3.531622258392498e-05,3.2382744582505846e-08,0.20316278111551445
1.5,3.0225186347961426,0.25277137756347656,True,,0.0015284301370275873,28.290391008632444,0.08212601996086305,0.33382295919020377,0.004601810745005935,0.34504137909762184,0.3321229948940526,0.0015283671665670027,0.03361173067418134,0.020023485661319052,0.00043532178059471795,4.2771700446776746e-05,3.395382437209329e-08,0.20520484065001918
1.75,3.0580949783325195,0.2648506164550781,True,,0.0013836217825112815,28.818076107335934,0.06988011352322195,0.3311426614983714,0.003571141704352972,0.37524780469280117,0.32946065562335974,0.0011765506872400526,0.033312976284494554,0.02074580059228307,0.000460931700512181,3.391556009708839e-05,3.262676258076789e-08,0.20345044133128687
2.0,3.0384929180145264,0.25044727325439453,True,,0.0012708821140197063,28.34629059138676,0.06340800881358635,0.33350945150412703,0.0030299540787948553,0.35128825343098274,0.33181230211381363,0.0010053760381840604,0.03358778985787526,0.02008683376663601,0.0004322905226431608,4.5186752933263566e-05,3.341295236759977e-08,0.20500270701805776
2.25,3.0267765522003174,0.25230979919433594,True,,0.001297795776645755,28.771892985404726,0.07486566450214867,0.33139610397558616,0.0039361367268526464,0.3154357478458262,0.32971308333678706,0.001297795776645755,0.03333130859820189,0.020666577499230235,0.00046438564287402137,3.2942330872244754e-05,3.287870902308556e-08,0.20361614295829134
2.5,3.0444576740264893,0.253143310546875,True,,0.001382704765853601,28.383096203935963,0.07973588364741108,0.33331674855045057,0.004169556501795386,0.3306438341792245,0.33161914588715047,0.001382704765853601,0.0335691089076189,0.020131158270423753,0.0004289649328875705,4.778972047185297e-05,3.3054737652156354e-08,0.2048765119225637
2.75,3.081864595413208,0.25382423400878906,True,,0.0013024704613496278,28.740679210751303,0.07372862139487206,0.33155734256758157,0.003491074649742552,0.3589803609401396,0.3298742899291658,0.0011516157711735356,0.0333451351072519,0.02061482533385244,0.0004680025076440312,3.2169265030532503e-05,3.306474847157201e-08,0.2037221775454163
3.0,3.1103577613830566,0.255096435546875,True,,0.0012320502629825799,28.408923511405128,0.06777955604802112,0.3331877864741454,0.003105953948018193,0.34458937204191,0.3314921835214663,0.0010295994561456696,0.03355552480100869,0.020162914642338436,0.000425343162380557,5.069504643717355e-05,3.275820469783512e-08,0.20479353319317434
3.25,3.0067543983459473,0.2605152130126953,True,,0.0012466571386850118,28.718426962437576,0.07252000253051345,0.33166758087769155,0.0037779349735801845,0.3131379317205405,0.3299837470478241,0.0012466571386850118,0.03335501065081932,0.020579239767053642,0.00047216699465883673,3.170358894643908e-05,3.3283826566634376e-08,0.20379396865176141
3.5,3.0350866317749023,0.2507591247558594,True,,0.0013155372032325596,28.427702284230005,0.0781818085092963,0.3330979636489429,0.003969613176903028,0.32467741049913273,0.33140186325633414,0.0013155372032325596,0.03354590554999806,0.020186676007951876,0.0004214597665540584,5.3873817248960194e-05,3.2520354352309904e-08,0.20473444068241572
3.75,3.008635997772217,0.253753662109375,True,,0.0012597859476049206,28.701981033493734,0.07492706383062567,0.3317451837478751,0.0034510183207372255,0.3513047484473555,0.3300614613029968,0.0011390481499259427,0.03336167369533345,0.02055330598801331,0.00047653290101625775,3.1396983036866314e-05,3.3457088032551564e-08,0.2038449408440975
4.0,3.029700756072998,0.25200843811035156,True,,0.0012092787608165218,28.441942005240175,0.07012689030933454,0.3330324900843233,0.003148475866620669,0.34111167366438644,0.33133772669539546,0.0010432088362014075,0.03353896294485526,0.02020474612650484,0.00041723112178771403,5.7443962915177084e-05,3.228766982771612e-08,0.20469262327246604
