Neural_Delay_tau,Predictive_Horizon_Tpred,Stable,Control_Effort,Total_Free_Energy
0.021052631578947368,0.25263157894736843,1,0.3606852652600863,0.00490233448082021
0.021052631578947368,0.2736842105263158,1,0.35216638979380416,0.005095302836917058
0.021052631578947368,0.29473684210526313,1,0.344617722278228,0.005308381496191905
0.021052631578947368,0.3157894736842105,1,0.33790061569834917,0.005542565660590396
0.021052631578947368,0.3368421052631579,1,0.3319006902485435,0.005799123363591825
0.021052631578947368,0.35789473684210527,1,0.32652281071075195,0.006079595985182851
0.021052631578947368,0.37894736842105264,1,0.32168725773819523,0.006385807770109572
0.021052631578947368,0.4,1,0.3153064975949314,0.006898123186197612
0.042105263157894736,0.0,1,0.5936087204095694,0.004168241105919051
0.042105263157894736,0.021052631578947368,1,0.6279130349591906,0.004235974698899648
0.042105263157894736,0.042105263157894736,1,0.6535812294679688,0.004310047955206078
0.042105263157894736,0.06315789473684211,1,0.5941003069867419,0.004181169110506744
0.042105263157894736,0.08421052631578947,1,0.5472908772569708,0.004114133233607298
0.042105263157894736,0.10526315789473684,1,0.509690627308724,0.004093757828766484
0.042105263157894736,0.12631578947368421,1,0.4789602714432514,0.004110315044736597
0.042105263157894736,0.14736842105263157,1,0.45347464414114746,0.004157419682708911
0.042105263157894736,0.16842105263157894,1,0.4320747041875958,0.004230841634310834
0.042105263157894736,0.18947368421052632,1,0.4139138342923711,0.004327804522542125
0.042105263157894736,0.21052631578947367,1,0.39140635678126934,0.004513762469658371
0.042105263157894736,0.23157894736842105,1,0.37889793787631704,0.004663495587755402
0.042105263157894736,0.25263157894736843,1,0.3679901165757368,0.004833542460452831
0.042105263157894736,0.2736842105263158,1,0.3584230280202978,0.005024126962449594
0.042105263157894736,0.29473684210526313,1,0.34998868039165915,0.005235826970225467
0.042105263157894736,0.3157894736842105,1,0.3425187319725905,0.00546953659877014
0.042105263157894736,0.3368421052631579,1,0.33587556045494354,0.005726445375623159
0.042105263157894736,0.35789473684210527,1,0.32994563579532776,0.006008030538412609
0.042105263157894736,0.37894736842105264,1,0.32463453261389114,0.006316060181834047
0.042105263157894736,0.4,1,0.3176585350978449,0.006832308227862213
0.06315789473684211,0.0,1,0.5602719493912792,0.004147761138667452
0.06315789473684211,0.021052631578947368,1,0.5976106807735121,0.004173260896167105
0.06315789473684211,0.042105263157894736,1,0.6263618673909325,0.004234608307507358
0.06315789473684211,0.06315789473684211,1,0.6464910927313623,0.004298811503083137
0.06315789473684211,0.08421052631578947,1,0.5877228807504683,0.004183732967830573
0.06315789473684211,0.10526315789473684,1,0.5414846608542042,0.0041300371969942035
0.06315789473684211,0.12631578947368421,1,0.504352907570613,0.004122968692500289
0.06315789473684211,0.14736842105263157,1,0.47401471485267893,0.004153109013336573
0.06315789473684211,0.16842105263157894,1,0.4488633256790005,0.004214312428013839
0.06315789473684211,0.18947368421052632,1,0.42775286780649957,0.0043025452655752845
0.06315789473684211,0.21052631578947367,1,0.40189299633560543,0.00448015517623901
0.06315789473684211,0.23157894736842105,1,0.3876698641658717,0.004626681186787369
0.06315789473684211,0.25263157894736843,1,0.37535590437573346,0.004794957732928426
0.06315789473684211,0.2736842105263158,1,0.3646261076847293,0.004984930017543679
0.06315789473684211,0.29473684210526313,1,0.355223560719266,0.005196958514174249
0.06315789473684211,0.3157894736842105,1,0.3469426206424993,0.005431761495667878
0.06315789473684211,0.3368421052631579,1,0.339616829285584,0.005690380833019205
0.06315789473684211,0.35789473684210527,1,0.33311008220787297,0.005974165201293831
0.06315789473684211,0.37894736842105264,1,0.32731007519306027,0.0062847671537429655
0.06315789473684211,0.4,1,0.31973502491889183,0.0068053424866647925
0.08421052631578947,0.0,1,0.5269020370565475,0.004202273425926689
0.08421052631578947,0.021052631578947368,1,0.5672691983681167,0.004145181721189469
0.08421052631578947,0.042105263157894736,1,0.5990965527805757,0.004175729978674579
0.08421052631578947,0.06315789473684211,1,0.6222929849977696,0.004233185184178521
0.08421052631578947,0.08421052631578947,1,0.6370518814062626,0.004291470959438658
0.08421052631578947,0.10526315789473684,1,0.5792808635615903,0.0041946743324095025
0.08421052631578947,0.12631578947368421,1,0.5338458318281681,0.004158413533699995
0.08421052631578947,0.14736842105263157,1,0.4973764653090903,0.004168470060725009
0.08421052631578947,0.16842105263157894,1,0.4675960056441561,0.004215799496394575
0.08421052631578947,0.18947368421052632,1,0.4429228847024074,0.004294531889572904
