time,theta_ideal,theta_naive,theta_pred,u_naive,u_pred,F_ideal,F_naive,F_pred
1.3934837092731829,0.01236949625833556,-0.022656990609297937,0.01236949625833556,1.4141436856605014,-0.08900298848670071,0.00013570864560193078,0.01232313721128345,0.00013570864560193078
1.4035087719298245,0.01217309728555886,-0.02463117143226788,0.01217309728555886,1.5230908799610718,-0.08758483676304155,0.00013143022402059353,0.013736441234032422,0.00013143022402059353
1.413533834586466,0.01197981068934372,-0.02648264122938198,0.01197981068934372,1.6255642657798623,-0.08618948664739584,0.00012728671381556392,0.015161443907303417,0.00012728671381556392
1.4235588972431077,0.011789587540461768,-0.02820264395567767,0.011789587540461768,1.721060289400317,-0.0848165582400073,0.00012327385867309866,0.016572952624628164,0.00012327385867309866
1.4335839598997493,0.011602379653173452,-0.029782967162647445,0.011602379653173452,1.8091044055958245,-0.08346567882043524,0.00011938753673181398,0.017945779789314654,0.00011938753673181398
1.443609022556391,0.011418139575618368,-0.03121598286679251,0.011418139575618368,1.8892534207514702,-0.08213648265957502,0.00011562375632189094,0.019255206358530196,0.00011562375632189094
1.4536340852130325,0.011236820580215589,-0.03249468597515397,0.011236820580215589,1.9610977066368833,-0.08082861083943271,0.00011197865184040947,0.020477441904853223,0.00011197865184040947
1.463659147869674,0.011058376654083043,-0.033612730076909236,0.011058376654083043,2.0242632728384513,-0.07954171108022262,0.00010844847975836926,0.021590072695307595,0.00010844847975836926
1.4736842105263157,0.010882762489484249,-0.03456446042101996,0.010882762489484249,2.0784136865129232,-0.07827543757438507,0.00010502961475511082,0.02257248940592141,0.00010502961475511082
1.4837092731829573,0.010709933474310061,-0.03534494391183934,0.010709933474310061,2.123251829007315,-0.07702945082714532,0.00010171854597599399,0.02340628637004246,0.00010171854597599399
1.493734335839599,0.010539845682602408,-0.03594999596746734,0.010539845682602408,2.1585214800309354,-0.07580341750325836,9.851187340933508e-05,0.024075624699056268,9.851187340933508e-05
