time_days,EI,GJ,K_odd,Lambda1_real,Lambda1_imag,Lambda2_real,Lambda2_imag,cobb_rate,is_complex,cobb_angle
742.7427427427428,85.14514514514514,72.57257257257257,17.017272722682506,78.85885885885885,15.813607293878366,78.85885885885885,-15.813607293878366,1.5813607293878367,True,706.0515941652326
743.7437437437438,85.12512512512512,72.56256256256256,16.931425013934057,78.84384384384384,15.723188559191716,78.84384384384384,-15.723188559191716,1.5723188559191716,True,707.6239130211518
744.7447447447448,85.10510510510511,72.55255255255256,16.845597093813716,78.82882882882883,15.632738005575243,78.82882882882883,-15.632738005575243,1.5632738005575244,True,709.1871868217094
745.7457457457458,85.08508508508508,72.54254254254255,16.759797388810306,78.81381381381382,15.54226383626595,78.81381381381382,-15.54226383626595,1.5542263836265953,True,710.7414132053359
746.7467467467468,85.06506506506506,72.53253253253253,16.674034260363165,78.7987987987988,15.451774189264418,78.7987987987988,-15.451774189264418,1.5451774189264418,True,712.2865906242623
747.7477477477478,85.04504504504504,72.52252252252252,16.58831600366379,78.78378378378378,15.36127713621616,78.78378378378378,-15.36127713621616,1.536127713621616,True,713.8227183378839
748.7487487487488,85.02502502502503,72.51251251251252,16.502650846482744,78.76876876876878,15.270780681319868,78.76876876876878,-15.270780681319868,1.5270780681319869,True,715.3497964060159
749.7497497497499,85.005005005005,72.5025025025025,16.417046948021955,78.75375375375376,15.18029276026278,78.75375375375376,-15.18029276026278,1.5180292760262781,True,716.8678256820422
750.7507507507509,84.98498498498498,72.49249249249249,16.331512397792633,78.73873873873873,15.08982123918336,78.73873873873873,-15.08982123918336,1.508982123918336,True,718.3768078059605
751.7517517517518,84.96496496496496,72.48248248248248,16.24605521451882,78.72372372372372,14.999373913661316,78.72372372372372,-14.999373913661316,1.4999373913661316,True,719.8767451973267
752.7527527527528,84.94494494494495,72.47247247247248,16.160683345066857,78.70870870870871,14.908958507735386,78.70870870870871,-14.908958507735386,1.4908958507735388,True,721.3676410481003
753.7537537537538,84.92492492492492,72.46246246246247,16.075404663400818,78.69369369369369,14.818582672948764,78.69369369369369,-14.818582672948764,1.4818582672948766,True,722.8494993153952
754.7547547547548,84.9049049049049,72.45245245245245,15.990226969564,78.67867867867866,14.728253987422429,78.67867867867866,-14.728253987422429,1.472825398742243,True,724.3223247141374
755.7557557557558,84.88488488488488,72.44244244244244,15.90515798868669,78.66366366366367,14.637979954956585,78.66366366366367,-14.637979954956585,1.4637979954956586,True,725.786122709633
756.7567567567568,84.86486486486487,72.43243243243244,15.820205370020147,78.64864864864865,14.547768004160117,78.64864864864865,-14.547768004160117,1.4547768004160118,True,727.240899510049
757.7577577577579,84.84484484484484,72.42242242242241,15.735376685997029,78.63363363363362,14.457625487608363,78.63363363363362,-14.457625487608363,1.4457625487608363,True,728.6866620588098
758.7587587587589,84.82482482482482,72.41241241241241,15.65067943131828,78.61861861861861,14.36755968102923,78.61861861861861,-14.36755968102923,1.436755968102923,True,730.1234180269128
759.7597597597598,84.8048048048048,72.4024024024024,15.566121022066504,78.6036036036036,14.277577782517648,78.6036036036036,-14.277577782517648,1.427757778251765,True,731.5511758051646
760.7607607607608,84.78478478478479,72.3923923923924,15.48170879484596,78.58858858858859,14.187686911778627,78.58858858858859,-14.187686911778627,1.4187686911778628,True,732.9699444963425
761.7617617617618,84.76476476476476,72.38238238238239,15.397450005949212,78.57357357357358,14.097894109398823,78.57357357357358,-14.097894109398823,1.4097894109398823,True,734.3797339072823
762.7627627627628,84.74474474474474,72.37237237237237,15.313351830550415,78.55855855855856,14.008206336146715,78.55855855855856,-14.008206336146715,1.4008206336146716,True,735.780554540897
763.7637637637638,84.72472472472472,72.36236236236236,15.229421361925313,78.54354354354354,13.918630472301457,78.54354354354354,-13.918630472301457,1.3918630472301459,True,737.1724175881271
764.7647647647648,84.70470470470471,72.35235235235236,15.14566561069797,78.52852852852854,13.829173317010417,78.52852852852854,-13.829173317010417,1.3829173317010417,True,738.5553349198282
765.7657657657659,84.68468468468468,72.34234234234233,15.062091504114221,78.51351351351352,13.739841587675443,78.51351351351352,-13.739841587675443,1.3739841587675443,True,739.9293190785958
766.7667667667669,84.66466466466466,72.33233233233233,14.978705885341888,78.49849849849849,13.650641919367873,78.49849849849849,-13.650641919367873,1.3650641919367874,True,741.2943832705325
767.7677677677679,84.64464464464464,72.32232232232232,14.895515512797633,78.48348348348348,13.561580864272212,78.48348348348348,-13.561580864272212,1.3561580864272214,True,742.6505413569597
768.7687687687688,84.62462462462463,72.31231231231232,14.812527059500605,78.46846846846847,13.472664891158626,78.46846846846847,-13.472664891158626,1.3472664891158628,True,743.9978078460756
