chi_kappa,gravity,D_geo,D_geo_norm,base_energy,passive_energy,S_lat_asym,cobb_asym_deg,lat_dev_max_asym,S_lat_sym,cobb_sym_deg,scoliosis_regime
0.005,1.0,0.17547118295184116,0.07263364689056097,5.836277143206944,2.1340822822735643,1.8240717544773966,34.62006999688201,0.3418326716906528,1.8239028039891176,34.62688884444048,True
0.005,0.5,0.17545847685267105,0.07263385595769545,5.835398355778911,2.1337622112173045,1.824235084530807,34.61795568042743,0.34184085070719744,1.824066120049864,34.624774243371604,True
0.005,0.2,0.17545085323770848,0.07263398142432162,5.834871116239487,2.133570180873638,1.824333093267648,34.616687090599584,0.34184575786865873,1.8241641203897938,34.62350548277524,True
0.005,0.1,0.1754483120401451,0.07263402325092203,5.83469537521258,2.1335061728074316,1.8243657646309719,34.6162642273309,0.34184739354773436,1.8241967889539268,34.62308256258393,True
0.005,0.05,0.1754470414427556,0.07263404416504579,5.834607505727795,2.133474169158393,1.824382100647227,34.61605279569809,0.34184821137950744,1.8242131235705463,34.6228711024896,True
0.005,0.01,0.17544602496551223,0.07263406089674011,5.834537210633727,2.1334485664235134,1.824395169620838,34.6158836503924,0.3418488656411986,1.8242261914244324,34.6227019344148,True
0.01,9.81,0.18324708082349553,0.07575186737648715,5.851772627359603,2.1397261344792935,1.8159060148317694,34.65514253827555,0.34147197399511203,1.8157818678044162,34.66195512742609,True
0.01,4.9,0.18313196943903684,0.07576022246531375,5.8431340387393575,2.136579715253792,1.817499922976852,34.63437945558628,0.3415525043078462,1.817375698325122,34.64118924989226,True
0.01,2.0,0.1830639910210533,0.0757651664668472,5.838034923796727,2.1347225011991426,1.818442335649384,34.622116131806514,0.341600044613742,1.8183180650888375,34.628924275389885,True
0.01,1.0,0.18304055190701826,0.0757668728859975,5.836277143206944,2.1340822822735643,1.818767478049193,34.61788740017078,0.341616433788664,1.8186431916474326,34.62469497453932,True
0.01,0.5,0.18302883268090872,0.075767726401803,5.835398355778911,2.1337622112173045,1.8189300824465966,34.61577303448793,0.3416246276002778,1.8188057881221902,34.62258032424906,True
0.01,0.2,0.183021801251158,0.07576823860931436,5.834871116239487,2.133570180873638,1.8190276557111171,34.61450441512135,0.3416295436389649,1.8189033566324702,34.62131153411811,True
0.01,0.1,0.18301945745889556,0.0757684093614923,5.83469537521258,2.1335061728074316,1.8190601819038765,34.61408154200642,0.34163118227714606,1.8189358812403744,34.62088860408161,True
0.01,0.05,0.18301828556607477,0.07576849474064548,5.834607505727795,2.133474169158393,1.8190764453323884,34.61387010545022,0.34163200158847784,1.8189521438764393,34.62067713906477,True
0.01,0.01,0.1830173480534072,0.07576856304543889,5.834537210633727,2.1334485664235134,1.8190894562346265,34.61370095620603,0.3416326570338188,1.8189651541447072,34.62050796705191,True
0.015,9.81,0.19750848160004195,0.0816473377729212,5.851772627359603,2.1397261344792935,1.8106377909298497,34.65296673566646,0.34125453420503066,1.8105578131001372,34.65976803165197,True
0.015,4.9,0.19740588763875755,0.08166522759126212,5.8431340387393575,2.136579715253792,1.812224646265727,34.6322031753089,0.34133520958635044,1.8121446493781792,34.63900167649902,True
0.015,2.0,0.19734530816810558,0.0816758120557321,5.838034923796727,2.1347225011991426,1.8131628859928604,34.61993956925795,0.34138283559172966,1.813082877848601,34.62673641975428,True
0.015,1.0,0.19732442140843345,0.08167946500593201,5.836277143206944,2.1340822822735643,1.813486588180726,34.6157107402622,0.34139925432119766,1.8134065761547478,34.62250702155383,True
0.015,0.5,0.19731397855056473,0.08168129208436904,5.835398355778911,2.1337622112173045,1.8136484722286228,34.61359632589467,0.3414074629106609,1.8135684582617726,34.62039232258371,True
0.015,0.2,0.19730771300290492,0.0816823885245618,5.834871116239487,2.133570180873638,1.813745613205481,34.61232767731568,0.34141238781624206,1.8136655980740994,34.61912350324334,True
0.015,0.1,0.19730562451486447,0.08168275403681964,5.83469537521258,2.1335061728074316,1.81377799528936,34.61190479446302,0.3414140294100858,1.8136979797698005,34.618700563470114,True
0.015,0.05,0.19730458027606568,0.08168293679898539,5.834607505727795,2.133474169158393,1.8137941866609952,34.61169335303784,0.34141485019925444,1.8137141709473457,34.61848909358472,True
0.015,0.01,0.19730374488753297,0.08168308301161574,5.834537210633727,2.1334485664235134,1.8138071399165596,34.611524199898504,0.3414155068268675,1.8137271240476374,34.61831991767727,True
0.02,9.81,0.21716142388420506,0.0897715985839387,5.851772627359603,2.1397261344792935,1.805392693589188,34.6507971040661,0.3410361542187293,1.8053565009993076,34.65758708721297,True
0.02,4.9,0.21707193914486295,0.0898009148864989,5.8431340387393575,2.136579715253792,1.8069725475255358,34.63003307181104,0.34111697449862666,1.806936393593507,34.63682026019367,True
0.02,2.0,0.21701910641510974,0.08981825771588386,5.838034923796727,2.1347225011991426,1.8079066447420826,34.61776918689987,0.3411646861031296,1.807870513701737,34.62455472460704,True
0.02,1.0,0.21700089163816835,0.08982424277899485,5.836277143206944,2.1340822822735643,1.808228917224954,34.61354026172083,0.34118113435254555,1.8081927940884968,34.62032523022956,True
0.02,0.5,0.2169917849048881,0.08982723622990885,5.835398355778911,2.1337622112173045,1.8083900861791715,34.61142579925673,0.3411893577025614,1.8083539669966222,34.618210483166386,True
0.02,0.2,0.2169863210746126,0.08982903259474136,5.834871116239487,2.133570180873638,1.8084867980226165,34.61015712181834,0.34119429146465935,1.8084506812130434,34.61694163496835,True
0.02,0.1,0.21698449983280546,0.0898296314320736,5.83469537521258,2.1335061728074316,1.8085190370491526,34.609734229345555,0.3411959360107061,1.8084829210306759,34.61651868557577,True
0.02,0.05,0.21698358921845554,0.08982993085993823,5.834607505727795,2.133474169158393,1.8085351568897035,34.60952278311044,0.3411967582759819,1.8084990412667932,34.616307210880734,True
0.02,0.01,0.2169828607301214,0.08983017040664534,5.834537210633727,2.1334485664235134,1.8085480529192428,34.60935362612291,0.34119741608448373,1.8085119376127992,34.616138031125246,True
0.025,9.81,0.24088989972333116,0.09958062990238571,5.851772627359603,2.1397261344792935,1.8001705576272873,34.64863387802488,0.3408168351084256,1.800177770468748,34.65541252883981,True
0.025,4.9,0.24081267636820178,0.09962226688222156,5.8431340387393575,2.136579715253792,1.8017434610844567,34.62786938005764,0.34089780011613185,1.801750769460767,34.634645236121955,True
0.025,2.0,0.2407670876351266,0.0996468959988721,5.838034923796727,2.1347225011991426,1.8026734459353781,34.61560521994215,0.34094559721894957,1.8026808108552588,34.622379425339155,True
0.025,1.0,0.24075137113874767,0.09965539517967162,5.836277143206944,2.1340822822735643,1.8029942991201158,34.611376199840855,0.3409620749535608,1.8030016835580864,34.618149836042285,True
0.025,0.5,0.24074351361315144,0.09965964599823744,5.835398355778911,2.1337622112173045,1.8031547581864011,34.609261689910944,0.3409703130467542,1.8031621523873247,34.61603504151458,True
0.025,0.2,0.24073879932905065,0.09966219688250363,5.834871116239487,2.133570180873638,1.8032510440206235,34.607992983991565,0.3409752556549447,1.8032584440805703,34.614766164836496,True
0.025,0.1,0.24073722793956215,0.09966304724278958,5.83469537521258,2.1335061728074316,1.8032831410313375,34.60757008202501,0.3409769031497195,1.8032905430445025,34.614343205950256,True
0.025,0.05,0.24073644225204532,0.09966347243522046,5.834607505727795,2.133474169158393,1.8032991898615893,34.60735863104283,0.3409777268893656,1.8033065928513985,34.6141317265084,True
0.025,0.01,0.24073581370550107,0.09966381259506352,5.834537210633727,2.1334485664235134,1.8033120290817404,34.60718947025769,0.34097838587736623,1.8033194328528876,34.613962542955385,True
0.03,9.81,0.267611994499233,0.11062718284276135,5.851772627359603,2.1397261344792935,1.794971219417786,34.64647728320793,0.34059657795288834,1.7950214619792788,34.65324458237676,True
0.03,4.9,0.26754558393096556,0.11068145567543691,5.8431340387393575,2.136579715253792,1.7965372228326193,34.62571232610524,0.3406776875168749,1.7965876169792316,34.63247683051994,True
0.03,2.0,0.26750638211681715,0.11071355682229063,5.838034923796727,2.1347225011991426,1.7974631251764572,34.61344789467331,0.34072557001674914,1.797513609029118,34.620210748418515,True
0.03,1.0,0.26749286810016787,0.11072463409939717,5.836277143206944,2.1340822822735643,1.7977825693710137,34.60921878099103,0.34074207720164795,1.7978330841870072,34.61598106553983,True
0.03,0.5,0.2674861118324498,0.11073017426132073,5.835398355778911,2.1337622112173045,1.7979423237056344,34.607104224266145,0.3407503300205673,1.7979928540091086,34.61386622421669,True
0.03,0.2,0.26748205830883465,0.11073349884608948,5.834871116239487,2.133570180873638,1.7980381866251272,34.6058354902683,0.3407552814643794,1.7980887262229517,34.6125973194599,True
0.03,0.1,0.2674807071738007,0.1107346071222928,5.83469537521258,2.1335061728074316,1.7980701426516412,34.60541257894194,0.3407569319043925,1.798120685347892,34.61217435121396,True
0.03,0.05,0.26748003161369094,0.11073516127563564,5.834607505727795,2.133474169158393,1.7980861209874244,34.605201123279876,0.34075775711666334,1.7981366652329482,34.61196286709201,True
0.03,0.01,0.26747949116915865,0.11073560460562587,5.834537210633727,2.1334485664235134,1.7980989038108652,34.60503195875082,0.34075841728276673,1.7981494492958332,34.61179367979522,True
0.035,9.81,0.29651946218897407,0.12257713941932791,5.851772627359603,2.1397261344792935,1.7897945168721952,34.64432753672184,0.3403753838374297,1.7898874174881896,34.65108346510937,True
0.035,4.9,0.2964623246015356,0.12264407865647492,5.8431340387393575,2.136579715253792,1.7913536702037294,34.623562127430986,0.34045663778540897,1.7914467776401728,34.630315261043535,True
0.035,2.0,0.29642859933548305,0.12268366951316124,5.838034923796727,2.1347225011991426,1.7922755196160074,34.61129742878959,0.3405046055806332,1.7923687494385436,34.6180489117201,True
0.035,1.0,0.29641697372040027,0.12269733092005884,5.836277143206944,2.1340822822735643,1.792593565030596,34.60706822294319,0.3405211421807572,1.7926868370951585,34.61381913667312,True
0.035,0.5,0.2964111616412546,0.12270416342997177,5.835398355778911,2.1337622112173045,1.7927526197409245,34.604953620131745,0.3405294097078732,1.7928459129341852,34.611704249261344,True
0.035,0.2,0.2964076746268703,0.12270826351414585,5.834871116239487,2.133570180873638,1.792848062810835,34.60368485848059,0.3405343699767897,1.7929413686837743,34.61043531685009,True
0.035,0.1,0.296406512327594,0.12270963030525467,5.83469537521258,2.1335061728074316,1.792879878874983,34.60326193793626,0.34053602335853544,1.7929731889748939,34.6100123393856,True
0.035,0.05,0.29640593118524083,0.12271031371888243,5.834607505727795,2.133474169158393,1.7928957872272386,34.603050477665235,0.3405368500416783,1.792989099440712,34.60980085065446,True
0.035,0.01,0.296405466274855,0.12271086045846001,5.834537210633727,2.1334485664235134,1.7929085140627352,34.602881309448804,0.34053751138448235,1.7930018279670932,34.60963165967018,True
0.04,9.81,0.32703330007762077,0.13519114773258897,5.851772627359603,2.1397261344792935,1.7846402894218591,34.64218484742904,0.3401532538538973,1.7847754804219842,34.6489293860771,True
0.04,4.9,0.32698403077393706,0.13527066295371762,5.8431340387393575,2.136579715253792,1.786192642156969,34.62141899324703,0.3402346520128228,1.7863280944095303,34.62816073708202,True
0.04,2.0,0.32695495191326274,0.13531768984551137,5.838034923796727,2.1347225011991426,1.7871104679335226,34.60915403170995,0.3402827050012432,1.787246074776653,34.615894124840636,True
0.04,1.0,0.3269449283602774,0.13533391682723006,5.836277143206944,2.1340822822735643,1.787427124681776,34.60492473518767,0.34029927098137575,1.7875627848814521,34.611664259110086,True
0.04,0.5,0.3269399172839467,0.13534203239871306,5.835398355778911,2.1337622112173045,1.7875854848268637,34.60281008703403,0.34030755319908146,1.7877211717143324,34.609549326352244,True
0.04,0.2,0.32693691086221244,0.13534690240758146,5.834871116239487,2.133570180873638,1.7876805110833396,34.601541298176286,0.34031252228253916,1.7878162139865297,34.608280366731904,True
0.04,0.1,0.3269359087589794,0.13534852585488225,5.83469537521258,2.1335061728074316,1.787712188197295,34.601118368562744,0.3403141786024965,1.7878478964395699,34.607857380197544,True
0.04,0.05,0.3269354077143652,0.13534933759934872,5.834607505727795,2.133474169158393,1.7877280270721332,34.6009069037569,0.34031500675475146,1.7878637379840405,34.60764588693142,True
0.04,0.01,0.3269350068820349,0.13534998700491385,5.834537210633727,2.1334485664235134,1.7877406983245767,34.60073773191295,0.34031566927284723,1.7878764113722405,34.607476692318976,True
0.045,9.81,0.3587438407949602,0.14829985682668,5.851772627359603,2.1397261344792935,1.7795083780001857,34.64004941624711,0.33993018910066614,1.7796854956593322,34.64678254637422,True
0.045,4.9,0.35870123905561807,0.14839181685578798,5.8431340387393575,2.136579715253792,1.7810539791591442,34.61928312480104,0.34001173129673506,1.7812314117107835,34.62601346006026,True
0.045,2.0,0.358676097200596,0.14844620212042103,5.838034923796727,2.1347225011991426,1.7819678103194219,34.6070179048777,0.3400598693757499,1.7821454291973005,34.61374658940034,True
0.045,1.0,0.35866743105179394,0.14846496786489735,5.836277143206944,2.1340822822735643,1.7822830884195289,34.60278851923518,0.34007646470052033,1.7824607716066319,34.60951663453838,True
