Age_Years,Length_L,Growth_Velocity,Physical_Delay_tau,Cognitive_T_pred,Temporal_Gap,Free_Energy_Cost,Free_Energy_Perfect,Stable
6.818181818181818,0.6021877918738829,0.0026344151937700566,0.09014585279159221,0.09005213467695958,9.371811463262936e-05,0.002472083399419909,0.002472083399419909,True
6.96969696969697,0.6026229888226676,0.0031571614339469534,0.09017486592151118,0.0900616011531851,0.00011326476832608512,0.0024734965497934763,0.0024734965497934763,True
7.121212121212121,0.6031445074599274,0.0037830296555563248,0.09020963383066183,0.0900730420388746,0.00013659179178722447,0.002475191435334701,0.002475191435334701,True
7.272727272727273,0.6037693614455635,0.004532098044726762,0.09025129076303756,0.09008683918956019,0.00016445157347737271,0.002477224213199136,0.002477224213199136,True
7.424242424242424,0.6045178705037839,0.005428238626647985,0.09030119136691893,0.09010345045960841,0.00019774090731052019,0.0024796622282965263,0.0024796622282965263,True
7.575757575757576,0.6054142822415175,0.006499783625872224,0.0903609521494345,0.09012342428862967,0.00023752786080483146,0.0024825862390068505,0.0024825862390068505,True
7.7272727272727275,0.6064875019055633,0.007780286487128141,0.09043250012703756,0.09014741700184228,0.00028508312519527623,0.0024860930838975265,0.0024860930838975265,True
7.878787878787879,0.6077719448133745,0.00930938060501596,0.09051812965422497,0.09017621327711453,0.00034191637711043776,0.0024902988757421517,0.0024902988757421517,True
8.030303030303031,0.6093085263313257,0.01113373313031607,0.09062056842208838,0.09021075028490347,0.00040981813718490856,0.0024953428253457607,0.0024953428253457607,True
8.181818181818182,0.6111458033377125,0.013308082099540375,0.0907430535558475,0.09025214605633629,0.0004909074995112089,0.0025013918164779794,0.0025013918164779794,True
8.333333333333334,0.6133412784827017,0.015896331177071232,0.09088941856551344,0.09030173267244854,0.0005876858930649043,0.0025086458747036527,0.0025086458747036527,True
8.484848484848484,0.6159628733913705,0.018972655715945308,0.09106419155942469,0.09036109488386923,0.0007030966755554591,0.002517344696929503,0.002517344696929503,True
8.636363636363637,0.6190905680935944,0.022622544438183567,0.09127270453957297,0.09043211475008696,0.000840589789486007,0.0025277754344284684,0.0025277754344284684,True
8.787878787878789,0.6228181898877898,0.026943660283885507,0.09152121265918599,0.090517022809631,0.0010041898495549845,0.0025402819484825097,0.0025402819484825097,True
8.93939393939394,0.6272553136341658,0.0320463492763472,0.09181702090894439,0.09061845612776787,0.0011985647811765254,0.002555275781660477,0.002555275781660477,True
9.09090909090909,0.6325292048200163,0.03805355546180156,0.09216861365466775,0.09073952327738166,0.0014290903772860852,0.0025732491037372407,0.0025732491037372407,True
9.242424242424242,0.638786694077136,0.04509981246463024,0.0925857796051424,0.0908838758407439,0.0017019037643985074,0.0025947898900196987,0.0025947898900196987,True
9.393939393939394,0.646195814657783,0.05332888053237239,0.09307972097718553,0.09105578531189526,0.002023935665290272,0.0026205995557887474,0.0026205995557887474,True
9.545454545454547,0.6549469609051277,0.06288949059528548,0.09366313072700852,0.09126022325788417,0.0024029074691243463,0.002651513178625059,0.002651513178625059,True
9.696969696969697,0.6652532360502935,0.0739285618936747,0.09435021573668623,0.09150294118405836,0.002847274552627871,0.0026885222517325238,0.0026885222517325238,True
9.848484848484848,0.6773495554183624,0.08658120930696933,0.09515663702789083,0.09179054467422279,0.0033660923536680404,0.0027327995685368736,0.0027327995685368736,True
10.0,0.6914899661433146,0.10095690126156853,0.09609933107622098,0.09213055400287613,0.003968777073344851,0.002785725261685452,0.002785725261685452,True
10.151515151515152,0.7079425558006561,0.11712133983542783,0.09719617038671041,0.09253144057594127,0.004664729810769139,0.0028489121058195553,0.0028489121058195553,True
