s_mm,theta_deg,kappa_1_per_m,E_Pa,C
294.949494949495,43.097638652271336,1.0755050505050505,1000000000.0,1000000.0
298.98989898989896,43.34193929770054,1.0351010101010105,1000000000.0,1000000.0
303.03030303030306,43.57688648458257,0.99469696969697,1000000000.0,1000000.0
307.07070707070704,43.80248021291742,0.9542929292929297,1000000000.0,1000000.0
311.11111111111114,44.01872048270509,0.9138888888888885,1000000000.0,1000000.0
315.1515151515151,44.22560729394558,0.8734848484848495,1000000000.0,1000000.0
319.19191919191917,44.42314064663888,0.8330808080808083,1000000000.0,1000000.0
323.2323232323232,44.611320540785,0.7926767676767688,1000000000.0,1000000.0
327.27272727272725,44.79014697638394,0.7522727272727275,1000000000.0,1000000.0
331.31313131313135,44.95961995343569,0.7118686868686863,1000000000.0,1000000.0
335.35353535353534,45.11973947194027,0.6714646464646473,1000000000.0,1000000.0
