input_anisotropy,input_active_curvature,mapped_chi_kappa,mapped_chi_tau,runtime_sec,peak_memory_mb,success,error,max_curvature,max_torsion,end_to_end_distance,S_lat,cobb_angle,z_tip,x_tip,y_tip,bending_energy,shear_energy,translational_energy,rotational_energy,gravitational_energy,U_gravity,U_elastic,U_elastic_straight,U_info,U_CC,U_kinetic,info_gain_ratio,torsion_drive,anisotropy
3.0,12.0,60.0,5.0,8.377453565597534,0.16590309143066406,True,,95.52051324912915,136.45668369802004,0.7743237576113167,0.4791364859997167,41.62717081001662,-0.5484329436467059,-0.27253056370833884,0.4738414078245307,39.503460680845784,0.794355023366105,1.2338963850635598,2.4421329453815646,-0.6596398188249021,-0.6596398188249021,40.297815704211885,16.774676587267976,7.689597170791963,8.42543959765111,3.6760293304451244,0.44106100816804217,1.0,3.0
5.0,12.0,60.0,5.0,8.450993299484253,0.16166400909423828,True,,86.3914526065996,132.39069716018807,0.4459382987396599,0.5418359736026364,76.11837111504668,-0.4144996543721591,0.03166905837699401,-0.16139415587219194,36.76312464923225,1.6442671777332185,1.749281225151445,2.2314796382123765,-0.5233134553399825,-0.5233134553399825,38.40739182696547,17.62581559334635,11.641595638788818,5.460906499217547,3.9807608633638214,0.6414410084119964,1.0,5.0
1.0,12.0,60.0,7.5,8.580691576004028,0.1620016098022461,True,,64.48368888201533,131.673154012405,0.41959023564647796,1.2553310021915427,50.82050170579421,-0.16302003908949303,0.29771078783441557,0.24667533219221308,44.04125805641093,2.21553152519671,3.4961110700794684,5.821203346527268,-0.37044455470582793,-0.37044455470582793,46.25678958160764,18.760493635458428,5.597035496872394,12.793013583880207,9.317314416606736,0.2925646113764554,1.5,1.0
2.0,12.0,60.0,7.5,8.694513082504272,0.16464900970458984,True,,57.01091670958992,155.9916691934853,0.19706878335344208,0.46258727933456906,38.74249607360176,-0.07141104602658228,0.01468914924674429,-0.18308685581494405,46.75437240600167,2.707984109143677,2.9582715543681317,5.504521326638036,-0.3944930203248883,-0.3944930203248883,49.462356515145345,21.284580326600363,5.389179377137218,15.500907929138258,8.462792881006168,0.24858900982045742,1.5,2.0
3.0,12.0,60.0,7.5,9.021892309188843,0.1615610122680664,True,,47.33950299393264,143.19713328851364,0.43177532370787386,0.8369856166388046,18.056963392432426,-0.4008035285341854,-0.15447046231919448,-0.04387867304830488,47.2507533530694,3.831720768564273,3.9716896051278376,5.658786074513721,-0.35117744668535,-0.35117744668535,51.08247412163367,21.936578592768434,5.3935096451350155,16.191891500948067,9.630475679641558,0.24199428760739417,1.5,3.0
5.0,12.0,60.0,7.5,9.059532642364502,0.16909408569335938,True,,47.77789859749354,146.4839155801419,0.3522777344247478,0.6347913787274989,15.338783265557607,0.14378660760927728,-0.21798075629238953,0.23645169386123407,48.16775184537188,3.016253387440814,3.703467099351861,5.460418781902441,-0.10477899841355066,-0.10477899841355066,51.184005232812694,24.51332144190688,7.263357294917532,17.145185148575795,9.163885881254302,0.29504133808071314,1.5,5.0
1.0,12.0,60.0,10.0,9.019589185714722,0.16228294372558594,True,,48.46916704470668,148.625047438295,0.11347571578657506,0.9427591183235139,54.09502041205954,-0.08252551019552734,0.07179825009731047,-0.030187572330472857,46.11877022594389,3.957919970373071,4.640038608421884,9.90193904487502,-0.1335688160695525,-0.1335688160695525,50.07669019631696,18.540974955585867,3.301508296802742,15.105897842713572,14.541977653296904,0.17679191187598567,2.0,1.0
2.0,12.0,60.0,10.0,8.54759931564331,0.16120338439941406,True,,68.80827060039249,136.75831977043032,0.43085659996498127,0.8760816999942937,24.81443407851001,-0.11206548471198065,-0.09425243936802015,-0.4052100869213776,47.86925552144376,3.6219235230385545,3.6110745298468725,9.991660557218971,-0.27893447135460253,-0.27893447135460253,51.491179044482315,19.826884595047144,2.674138418552852,16.873811705139687,13.602735087065843,0.13300320716709957,2.0,2.0
3.0,12.0,60.0,10.0,8.411659240722656,0.16118621826171875,True,,57.056315863108374,148.21845663011337,0.5686970871797368,0.7706596560380425,75.03027174705919,-0.4041805629467932,0.37605323556112324,-0.13652257515422403,44.660452768746794,4.2095361148006605,4.709031568532975,9.925138477233917,-0.4926157579465709,-0.4926157579465709,48.86998888354746,20.672221042303185,7.305629996610801,12.873975287745814,14.634170045766892,0.3451777146008794,2.0,3.0
5.0,12.0,60.0,10.0,8.673434019088745,0.1618633270263672,True,,60.94494177202658,140.73323750112874,0.28526507275094865,0.3697693800799561,33.11755329943786,-0.26665438871257,-0.10059162189582502,-0.012366257166055132,47.73090912764563,4.648339999970145,3.3332401505612395,9.874015908739418,-0.04675676425709768,-0.04675676425709768,52.37924912761578,23.924478817703616,7.245407600068139,16.632314453378378,13.207256059300658,0.3022542403079377,2.0,5.0
