Normalized_Position,Lenke_Type_1,Lenke_Type_2,Lenke_Type_3,Lenke_Type_4,Lenke_Type_5,Lenke_Type_6
0.26262626262626265,0.5639185794831435,0.5656367853267218,0.5981336971868831,0.5983771875700489,0.6931473417723519,0.6615641364546805
0.27272727272727276,0.5957690040225972,0.5974788970313953,0.630192751649275,0.630466277314782,0.7273286624875919,0.6949134943216316
0.2828282828282829,0.6273871168286758,0.6290769207457311,0.6618343881927699,0.6621365958790547,0.7605969434540806,0.7275243318676726
0.29292929292929293,0.6586408637746242,0.6602979685964798,0.6929153963738979,0.6932437479137925,0.7927259809537464,0.7592067574252646
0.30303030303030304,0.6893721013439981,0.6909831065443517,0.7232673150605996,0.7236177925398296,0.8234508663114488,0.7897389928098292
0.31313131313131315,0.7193876999091755,0.7209384841422075,0.7526871294087489,0.7530539553374551,0.8524565645443247,0.8188567749062515
0.32323232323232326,0.7484460491497098,0.7499218798603685,0.7809230708224181,0.7812984628543495,0.8793607048858146,0.8462372671073445
0.33333333333333337,0.7762355551320231,0.7776212613629883,0.8076518906356875,0.808025884265926,0.9036862731325924,0.8714734050848798
0.3434343434343435,0.8025883749199815,0.8038709006481568,0.8327280266892663,0.8330902363366754,0.9252895193553216,0.8944277499413599
0.3535353535353536,0.8273384923047751,0.8285072777382178,0.8560080696213396,0.8563483160657939,0.9440488277036425,0.9149751502315357
0.36363636363636365,0.8503217798214203,0.8513691552145625,0.8773508297080616,0.8776597869279634,0.9598652455366778,0.9330030656101641
0.37373737373737376,0.8713760569936047,0.8722976481716286,0.896617398916538,0.8968872588991451,0.9726629428966435,0.948411856542721
0.38383838383838387,0.8903411444206109,0.8911362891322805,0.9136712077939889,0.9138963617845395,0.9823895999019426,0.9611150384923315
0.393939393939394,0.9074871500075075,0.908158661807172,0.9288252967986685,0.9290035484110866,0.9896073509044475,0.9715689970504496
0.4040404040404041,0.9230002814515025,0.9235535254519166,0.9422951481212507,0.9424269648150883,0.9947120179223958,0.9800923160680844
0.4141414141414142,0.9370186177866635,0.9374608772096213,0.9542399751303887,0.9543279330405305,0.9979996687314697,0.986922090928149
0.42424242424242425,0.9496505591329599,0.9499905483147532,0.9647840059459671,0.9648323306561258,0.9997008522461523,0.9922429062734669
0.43434343434343436,0.9609853163578903,0.9612327743172826,0.9740285745993313,0.9740427336347037,1.0,0.9962032622804728
0.4444444444444445,0.9709673174714986,0.9711337736989382,0.9819282673078392,0.9819152767572752,0.9989118680518169,0.9987917033992078
0.4545454545454546,0.979546184399727,0.9796447797255176,0.9884424405110781,0.9884107131183951,0.9964530875433566,1.0
0.4646464646464647,0.9866767869349514,0.9867220921007407,0.99353525955894,0.993494451452943,0.9926421626589736,0.9998231567553899
0.4747474747474748,0.9923192891028862,0.9923271213684547,0.9971757306142284,0.9971365869334904,0.9874994660152057,0.9982594165528472
0.48484848484848486,0.9964391877019306,0.9964264258352196,0.9993377255943082,0.9993119252742798,0.981047231514978,0.9953102599221182
0.494949494949495,0.9990073427996652,0.998991740811923,1.0,1.0,0.9733095447046168,0.9909803999715083
0.5050505050505051,1.0,1.0,0.9991462035037721,0.9991850827599035,0.9643123306753825,0.985277772837876
0.5151515151515152,0.9993988043234957,0.9994333488747661,0.9967648831931677,0.9968561865902384,0.9540833395546525,0.9782135236656093
0.5252525252525253,0.9971908055724604,0.9972791499455376,0.992849479389414,0.9930070620503981,0.9426521296354076,0.9698019881403028
0.5353535353535354,0.9933684550816222,0.9935299797993937,0.9873983139850981,0.9876361861807273,0.9300500481960272,0.9600606696131857
0.5454545454545455,0.9879295937843646,0.9881836178626434,0.9804145712688211,0.980746744252332,0.9163102100657992,0.9490102118627566
0.5555555555555556,0.9808774315537573,0.9812430268412861,0.9719062712285672,0.9723466043016944,0.9014674739950028,0.9366743675503091
0.5656565656565657,0.9722205178066902,0.9727163248288508,0.9618862353494214,0.9624482844651471,0.8855584168915527,0.9230799624361699
0.5757575757575758,0.9619727033884868,0.962616749097103,0.9503720449448944,0.9510689131505742,0.8686213059896393,0.9082568554335856
0.5858585858585859,0.9501530937841836,0.9509626116119483,0.9373859920846541,0.938230182105637,0.850696069018929,0.8922378945871192
0.595959595959596,0.9367859937313324,0.9377772463436114,0.9229550232047574,0.9239582924637699,0.831824262446082,0.8750588690722564
0.6060606060606061,0.9219008433375813,0.923088948466592,0.9071106755095533,0.9082838938707885,0.8120490378634474,0.8567584573225553
0.6161616161616162,0.905532145834403,0.9069309055711686,0.8898890062972404,0.8912420168163384,0.7914151066028602,0.8373781714002626
0.6262626262626263,0.8877193871261138,0.8893411210340484,0.871330515363528,0.8728719983155075,0.7699687026554592,0.816962297735651
0.6363636363636365,0.868506947320635,0.8703623297213169,0.8514800606599583,0.8532174011066888,0.7477575439813632,0.7955578343694978
0.6464646464646465,0.8479440044554281,0.8500419062219308,0.8303867674052872,0.8323259265522084,0.7248307922958693,0.7732144248420939
0.6565656565656566,0.8260844306584542,0.8284317658347061,0.808103930869566,0.8102493214482823,0.7012390114216798,0.7499842888809938
0.6666666666666667,0.8029866810099482,0.8055882585559864,0.7846889130715254,0.7870432789704361,0.6770341242993404,0.7259221500482481
