gravity,gravity_label,s,x_info,z_info,x_passive,z_passive,kappa_info,kappa_passive
9.81,1g (Earth),0.3111111111111111,0.2752857842242598,0.12982415610613665,0.2721412360586929,0.1339748586494031,0.9905943246019894,0.8892764444444448
9.81,1g (Earth),0.3151515151515151,0.2782780092347921,0.13253919833344324,0.2750656075777281,0.13676285363296542,0.8792531213998116,0.848837972451791
9.81,1g (Earth),0.3191919191919192,0.2812599569318543,0.13526552420202517,0.27798017148424736,0.1395610998774065,0.7641819174247013,0.8084011019283748
9.81,1g (Earth),0.3232323232323232,0.2842328366158816,0.13800173530389773,0.28088535066373743,0.14236908825786151,0.6489332358438991,0.7679658328741971
9.81,1g (Earth),0.32727272727272727,0.2871978929209062,0.1407464221562996,0.2837815728641487,0.1451863141585586,0.5370928283199183,0.7275321652892565
9.81,1g (Earth),0.33131313131313134,0.29015636441789566,0.14349820543468733,0.2866692704339509,0.1480122772784651,0.43199889268338104,0.6871000991735536
9.81,1g (Earth),0.33535353535353535,0.2931094429145442,0.14625577541609214,0.28954888006365365,0.1508464814331153,0.3364872599410633,0.6466696345270894
9.81,1g (Earth),0.3393939393939394,0.29605823673419773,0.14901792671877032,0.29242084253063927,0.15368843435284132,0.2526897117280299,0.6062407713498622
9.81,1g (Earth),0.3434343434343434,0.2990037407972688,0.15178358588507135,0.2952856024471545,0.15653764747762516,0.18190534048482743,0.5658135096418736
9.81,1g (Earth),0.3474747474747475,0.3019468155601772,0.15455183004873274,0.298143608011302,0.15939363574878726,0.12455510816443605,0.5253878494031221
9.81,1g (Earth),0.3515151515151515,0.3048881759059262,0.15732189577469818,0.30099531076086855,0.16225591739772183,0.08021908798162819,0.48496379063360917
9.81,1g (Earth),0.35555555555555557,0.3078283900647046,0.1600931780609752,0.30384116532982575,0.1651240137318883,0.04774595673707771,0.44454133333333345
9.81,1g (Earth),0.3595959595959596,0.31076788770653296,0.1628652203448155,0.30668162920733244,0.16799744891826235,0.025416579745891676,0.40412047750229607
9.81,1g (Earth),0.36363636363636365,0.3137069755998011,0.16563769706525125,0.30951716249906897,0.17087574976445047,0.011138958373957564,0.363701223140496
9.81,1g (Earth),0.36767676767676766,0.3166458587388358,0.16841039082850942,0.31234822769072673,0.1737584454976656,0.0026507472918646524,0.3232835702479343
9.81,1g (Earth),0.3717171717171717,0.31958466463505153,0.1711831664620725,0.3151752894134781,0.17664506754176273,-0.0022922570470370607,0.28286751882460986
9.81,1g (Earth),0.37575757575757573,0.3225234685231594,0.17395594422398478,0.31799881421124554,0.17953514929252784,-0.005758547061588043,0.24245306887052384
9.81,1g (Earth),0.3797979797979798,0.3254623175080313,0.1767286741880871,0.3208192703095907,0.18242822589141375,-0.009524962748545696,0.20204022038567512
