k_c,k_s,g_a,eval1_real,eval1_imag,eval2_real,eval2_imag
10.0,10.1,3.2323232323232323,-10.05,-3.231936490436733,-10.05,3.231936490436733
10.0,10.1,3.3333333333333335,-10.05,-3.33295831223721,-10.05,3.33295831223721
10.0,10.1,3.4343434343434343,-10.05,-3.4339794444664142,-10.05,3.4339794444664142
10.0,10.1,3.5353535353535355,-10.05,-3.534999946242822,-10.05,3.534999946242822
10.0,10.1,3.6363636363636362,-10.05,-3.6360198701145423,-10.05,3.6360198701145423
10.0,10.1,3.7373737373737375,-10.05,-3.737039262947466,-10.05,3.737039262947466
10.0,10.1,3.8383838383838382,-10.05,-3.838058166673122,-10.05,3.838058166673122
10.0,10.1,3.9393939393939394,-10.05,-3.939076618921458,-10.05,3.939076618921458
10.0,10.1,4.040404040404041,-10.05,-4.040094653558665,-10.05,4.040094653558665
10.0,10.1,4.141414141414141,-10.05,-4.141112301146279,-10.05,4.141112301146279
10.0,10.1,4.242424242424242,-10.05,-4.24212958933469,-10.05,4.24212958933469
10.0,10.1,4.343434343434343,-10.05,-4.343146543201706,-10.05,4.343146543201706
10.0,10.1,4.444444444444445,-10.05,-4.444163185544957,-10.05,4.444163185544957
10.0,10.1,4.545454545454545,-10.05,-4.545179537135293,-10.05,4.545179537135293
10.0,10.1,4.646464646464646,-10.05,-4.646195616937134,-10.05,4.646195616937134
10.0,10.1,4.747474747474747,-10.05,-4.747211442300673,-10.05,4.747211442300673
10.0,10.1,4.848484848484849,-10.05,-4.848227029130048,-10.05,4.848227029130048
10.0,10.1,4.94949494949495,-10.05,-4.9492423920309285,-10.05,4.9492423920309285
10.0,10.1,5.05050505050505,-10.05,-5.0502575444403845,-10.05,5.0502575444403845
10.0,10.1,5.151515151515151,-10.05,-5.15127249874147,-10.05,5.15127249874147
10.0,10.1,5.252525252525253,-10.05,-5.252287266364577,-10.05,5.252287266364577
10.0,10.1,5.353535353535354,-10.05,-5.353301857877333,-10.05,5.353301857877333
10.0,10.1,5.454545454545454,-10.05,-5.454316283064494,-10.05,5.454316283064494
10.0,10.1,5.555555555555555,-10.05,-5.5553305509991215,-10.05,5.5553305509991215
10.0,10.1,5.656565656565657,-10.05,-5.656344670106134,-10.05,5.656344670106134
10.0,10.1,5.757575757575758,-10.05,-5.757358648219171,-10.05,5.757358648219171
10.0,10.1,5.858585858585858,-10.05,-5.8583724926315695,-10.05,5.8583724926315695
10.0,10.1,5.959595959595959,-10.05,-5.9593862101421555,-10.05,5.9593862101421555
10.0,10.1,6.0606060606060606,-10.05,-6.060399807096469,-10.05,6.060399807096469
10.0,10.1,6.161616161616162,-10.05,-6.161413289423903,-10.05,6.161413289423903
10.0,10.1,6.262626262626262,-10.05,-6.262426662671283,-10.05,6.262426662671283
10.0,10.1,6.363636363636363,-10.05,-6.363439932033227,-10.05,6.363439932033227
10.0,10.1,6.4646464646464645,-10.05,-6.464453102379662,-10.05,6.464453102379662
10.0,10.1,6.565656565656566,-10.05,-6.565466178280806,-10.05,6.565466178280806
10.0,10.1,6.666666666666667,-10.05,-6.666479164029875,-10.05,6.666479164029875
10.0,10.1,6.767676767676767,-10.05,-6.7674920636637514,-10.05,6.7674920636637514
10.0,10.1,6.8686868686868685,-10.05,-6.868504880981845,-10.05,6.868504880981845
10.0,10.1,6.96969696969697,-10.05,-6.96951761956329,-10.05,6.96951761956329
10.0,10.1,7.070707070707071,-10.05,-7.070530282782683,-10.05,7.070530282782683
10.0,10.1,7.171717171717171,-10.05,-7.1715428738244995,-10.05,7.1715428738244995
10.0,10.1,7.2727272727272725,-10.05,-7.272555395696281,-10.05,7.272555395696281
10.0,10.1,7.373737373737374,-10.05,-7.373567851240765,-10.05,7.373567851240765
10.0,10.1,7.474747474747475,-10.05,-7.474580243147019,-10.05,7.474580243147019
10.0,10.1,7.575757575757575,-10.05,-7.575592573960687,-10.05,7.575592573960687
10.0,10.1,7.6767676767676765,-10.05,-7.676604846093421,-10.05,7.676604846093421
10.0,10.1,7.777777777777778,-10.05,-7.777617061831589,-10.05,7.777617061831589
10.0,10.1,7.878787878787879,-10.05,-7.878629223344301,-10.05,7.878629223344301
10.0,10.1,7.979797979797979,-10.05,-7.979641332690833,-10.05,7.979641332690833
10.0,10.1,8.080808080808081,-10.05,-8.080653391827497,-10.05,8.080653391827497
10.0,10.1,8.181818181818182,-10.05,-8.181665402613982,-10.05,8.181665402613982
10.0,10.1,8.282828282828282,-10.05,-8.282677366819266,-10.05,8.282677366819266
10.0,10.1,8.383838383838384,-10.05,-8.383689286127069,-10.05,8.383689286127069
10.0,10.1,8.484848484848484,-10.05,-8.484701162140928,-10.05,8.484701162140928
10.0,10.1,8.585858585858587,-10.05,-8.585712996388922,-10.05,8.585712996388922
10.0,10.1,8.686868686868687,-10.05,-8.68672479032804,-10.05,8.68672479032804
10.0,10.1,8.787878787878787,-10.05,-8.787736545348293,-10.05,8.787736545348293
10.0,10.1,8.88888888888889,-10.05,-8.888748262776508,-10.05,8.888748262776508
10.0,10.1,8.98989898989899,-10.05,-8.989759943879864,-10.05,8.989759943879864
10.0,10.1,9.09090909090909,-10.05,-9.090771589869235,-10.05,9.090771589869235
10.0,10.1,9.191919191919192,-10.05,-9.19178320190225,-10.05,9.19178320190225
10.0,10.1,9.292929292929292,-10.05,-9.292794781086222,-10.05,9.292794781086222
10.0,10.1,9.393939393939394,-10.05,-9.39380632848083,-10.05,9.39380632848083
10.0,10.1,9.494949494949495,-10.05,-9.494817845100648,-10.05,9.494817845100648
10.0,10.1,9.595959595959595,-10.05,-9.59582933191754,-10.05,9.59582933191754
10.0,10.1,9.696969696969697,-10.05,-9.696840789862883,-10.05,9.696840789862883
10.0,10.1,9.797979797979798,-10.05,-9.797852219829622,-10.05,9.797852219829622
10.0,10.1,9.8989898989899,-10.05,-9.898863622674275,-10.05,9.898863622674275
