chi_kappa,L,P_counter,S_proprio,Deficit,Deficit_Ratio,Is_Deficit
0.02,0.48717948717948717,0.028571265066413002,0.10873717937841197,-0.08016591431199897,0.26275525289269525,False
0.02,0.49743589743589745,0.02978692886536066,0.10987581963671417,-0.0800888907713535,0.2710963063924902,False
0.02,0.5076923076923077,0.031027918993453054,0.11100278060709351,-0.07997486161364045,0.2795237995278674,False
0.02,0.5179487179487179,0.0322942354506902,0.1121184144740432,-0.079824179023353,0.2880368546253989,False
0.02,0.5282051282051282,0.033585878237072084,0.11322305607004315,-0.07963717783297107,0.29663462021635295,False
0.02,0.5384615384615385,0.03490284735259871,0.1143170240493818,-0.07941417669678308,0.3053162697580515,False
0.02,0.5487179487179488,0.03624514279727008,0.11540062196181498,-0.0791554791645449,0.3140810004409098,False
0.02,0.558974358974359,0.0376127645710862,0.11647413923631518,-0.07886137466522898,0.322928032073913,False
0.02,0.5692307692307692,0.03900571267404704,0.11753785208394499,-0.07853213940989795,0.3318566060420207,False
0.02,0.5794871794871794,0.04042398710615264,0.11859202432783635,-0.07816803722168371,0.3408659843296407,False
0.02,0.5897435897435898,0.04186758786740298,0.11963690816734161,-0.07776932029993863,0.349955448604881,False
0.02,0.6,0.04333651495779803,0.12067274488262761,-0.07733622992482958,0.3591242993598041,False
0.03,0.2,0.010834128739449523,0.06967044174183609,-0.05883631300238657,0.1555053831809392,False
0.03,0.21025641025641026,0.01197381355096294,0.0714345295649756,-0.05946071601401266,0.16761940792333163,False
0.03,0.22051282051282053,0.013170482603052041,0.07315609049037662,-0.05998560788732458,0.1800326194957693,False
0.03,0.23076923076923078,0.014424135895716814,0.0748380594183399,-0.06041392352262309,0.19273797326954764,False
0.03,0.24102564102564103,0.015734773428957252,0.07648304844323199,-0.06074827501427474,0.20572890005340297,False
0.03,0.2512820512820513,0.017102395202773363,0.07809339447633563,-0.060990999273562274,0.21899925489800345,False
0.03,0.26153846153846155,0.018527001217165145,0.07967119819924494,-0.06114419698207979,0.23254327330225502,False
0.03,0.27179487179487183,0.02000859147213261,0.08121835620209368,-0.06120976472996107,0.24635553349966494,False
0.03,0.28205128205128205,0.021547165967675735,0.08273658770965217,-0.06118942174197643,0.26043092378055627,False
0.03,0.2923076923076923,0.023142724703794523,0.08422745696923163,-0.061084732265437106,0.2747646140171201,False
0.03,0.3025641025641026,0.024795267680489008,0.08569239213121876,-0.060897124450729756,0.2893520307207738,False
0.03,0.3128205128205128,0.026504794897759122,0.08713270127132157,-0.06062790637356245,0.30418883508759964,False
0.03,0.3230769230769231,0.02827130635560496,0.08854958606624969,-0.06027827971064473,0.3192709035867583,False
0.03,0.33333333333333337,0.03009480205402643,0.08994415352968174,-0.059849351475655316,0.3345943107252111,False
0.03,0.3435897435897436,0.03197528199302358,0.09131742613454322,-0.059342144141519636,0.3501553136847348,False
0.03,0.35384615384615387,0.03391274617259643,0.09267035058477203,-0.058757604412175604,0.36595033857753756,False
0.03,0.36410256410256414,0.03590719459274493,0.09400380545047822,-0.05809661085773329,0.3819759681076003,False
0.03,0.37435897435897436,0.03795862725346908,0.09531860784148158,-0.0573599805880125,0.3982289304581085,False
0.03,0.38461538461538464,0.040067044154768916,0.09661551926323718,-0.05654847510846826,0.41470608925262675,False
0.03,0.3948717948717949,0.04223244529664443,0.09789525077434427,-0.05566280547769984,0.4314044344601896,False
0.03,0.40512820512820513,0.04445483067909561,0.09915846754482721,-0.054703636865731604,0.4483210741331659,False
0.03,0.4153846153846154,0.04673420030212246,0.10040579289814582,-0.05367159259602335,0.4654532268823455,False
0.03,0.4256410256410257,0.04907055416572498,0.10163781190665289,-0.05256725774092791,0.48279821500676146,False
0.03,0.4358974358974359,0.05146389226990319,0.1028550745993553,-0.05139118232945212,0.5003534582067743,False
0.03,0.4461538461538462,0.05391421461465706,0.1040580988318821,-0.05014388421722504,0.5181164678182494,False
0.03,0.4564102564102564,0.05642152119998657,0.1052473728611434,-0.04882585166115683,0.5360848415135786,False
0.03,0.4666666666666667,0.05898581202589182,0.10642335766099163,-0.04743754563509981,0.5542562584220405,False
0.03,0.47692307692307695,0.061607087092372705,0.1075864890100339,-0.04597940191766119,0.5726284746277668,False
0.03,0.48717948717948717,0.06428534639942925,0.10873717937841197,-0.044451832978982725,0.5911993190085642,False
0.03,0.49743589743589745,0.06702058994706149,0.10987581963671417,-0.04285522968965268,0.6099666893831031,False
0.03,0.5076923076923077,0.06981281773526936,0.11100278060709351,-0.04118996287182415,0.6289285489377016,False
0.03,0.5179487179487179,0.07266202976405295,0.1121184144740432,-0.039456384709990244,0.6480829229071475,False
0.03,0.5282051282051282,0.07556822603341218,0.11322305607004315,-0.037654830036630976,0.667427895486794,False
0.03,0.5384615384615385,0.0785314065433471,0.1143170240493818,-0.03578561750603469,0.6869616069556158,False
0.03,0.5487179487179488,0.08155157129385766,0.11540062196181498,-0.03384905066795732,0.706682250992047,False
0.03,0.558974358974359,0.08462872028494395,0.11647413923631518,-0.03184541895137123,0.7265880721663043,False
0.03,0.5692307692307692,0.08776285351660582,0.11753785208394499,-0.029774998567339173,0.7466773635945465,False
0.03,0.5794871794871794,0.09095397098884342,0.11859202432783635,-0.027638053338992927,0.7669484647416915,False
0.03,0.5897435897435898,0.0942020727016567,0.11963690816734161,-0.02543483546568491,0.7873997593609822,False
0.03,0.6,0.09750715865504558,0.12067274488262761,-0.023165586227582025,0.8080296735595595,False
0.04,0.2,0.019260673314576933,0.06967044174183609,-0.05040976842725916,0.27645401454389196,False
0.04,0.21025641025641026,0.021286779646156342,0.0714345295649756,-0.05014774991881926,0.2979900585303674,False
0.04,0.22051282051282053,0.02341419129431474,0.07315609049037662,-0.04974189919606188,0.320057990214701,False
0.04,0.23076923076923078,0.025642908259052122,0.0748380594183399,-0.049195151159287784,0.34264528581252923,False
0.04,0.24102564102564103,0.027972930540368448,0.07648304844323199,-0.04851011790286354,0.36574026676160526,False
0.04,0.2512820512820513,0.030404258138263755,0.07809339447633563,-0.04768913633807188,0.3893320087075617,False
0.04,0.26153846153846155,0.032936891052738046,0.07967119819924494,-0.04673430714650689,0.4134102636484535,False
0.04,0.27179487179487183,0.03557082928379131,0.08121835620209368,-0.04564752691830237,0.4379653928882933,False
0.04,0.28205128205128205,0.03830607283142353,0.08273658770965217,-0.04443051487822864,0.4629883089432112,False
0.04,0.2923076923076923,0.04114262169563472,0.08422745696923163,-0.04308483527359691,0.4884704249193248,False
