chi_kappa,L,P_counter,S_proprio,Deficit,R_deficit,Cobb_angle,D_geo,Is_Deficit
0.02894736842105263,0.25,0.003940303679597905,0.018206143948862993,-0.014265840269265088,0.21642714078639283,0.44995250354508715,0.0675101107589115,False
0.02894736842105263,0.2657894736842105,0.0044537438044962,0.019003623174698225,-0.014549879370202025,0.2343628772025956,0.4811736848510427,0.06960937024966583,False
0.02894736842105263,0.28157894736842104,0.004998619039082149,0.019787006338095364,-0.014788387299013214,0.2526212886210305,0.5129097264846372,0.07164714787365663,False
0.02894736842105263,0.2973684210526316,0.00557492938335575,0.020557313499891646,-0.014982384116535897,0.2711895882399777,0.545191214207908,0.07362854860924653,False
0.02894736842105263,0.31315789473684214,0.006182674837317,0.021315440959986758,-0.015132766122669759,0.29005615454651335,0.5780487337828928,0.0755580077965184,False
0.02894736842105263,0.32894736842105265,0.0068218554009659,0.02206218172913726,-0.01524032632817136,0.30921037115546723,0.6115128709716303,0.07743940801719297,False
0.02894736842105263,0.3447368421052632,0.0074924710743024545,0.02279824179753759,-0.015305770723235135,0.32864249536609913,0.6456142115361582,0.079276170984274,False
0.02894736842105263,0.3605263157894737,0.008194521857326656,0.023524253215699068,-0.015329731358372413,0.3483435491953465,0.6803833412385136,0.08107133067738811,False
0.02894736842105263,0.37631578947368427,0.008928007750038514,0.02424078472413481,-0.015312776974096295,0.3683052282193463,0.7158508458407359,0.08282759220016578,False
0.02894736842105263,0.39210526315789473,0.009692928752438015,0.02494835047448543,-0.015255421722047417,0.3885198246814326,0.752047311104862,0.08454737962557757,False
0.02894736842105263,0.4078947368421053,0.01048928486452517,0.025647417247623108,-0.015158132383097938,0.40898016214468036,0.78900332279293,0.0862328752473561,False
0.02894736842105263,0.42368421052631583,0.01131707608629998,0.02633841047577024,-0.015021334389470259,0.4296795395724815,0.826749466666978,0.08788605205207846,False
0.02894736842105263,0.43947368421052635,0.012176302417762436,0.027021719303866924,-0.014845416886104489,0.4506116831736889,0.8653163284890443,0.0895087007903433,False
0.02894736842105263,0.4552631578947369,0.013066963858912537,0.027697700872382502,-0.014630737013469964,0.4717707046920152,0.9047344940211657,0.0911024527060043,False
0.02894736842105263,0.4710526315789474,0.013989060409750302,0.02836668396410821,-0.014377623554357908,0.4931510650822062,0.9450345490253813,0.09266879874544787,False
0.02894736842105263,0.48684210526315796,0.01494259207027571,0.02902897212748004,-0.01408638005720433,0.5147475427188972,0.9862470792637285,0.09420910589109144,False
0.02894736842105263,0.5026315789473685,0.015927558840488774,0.029684846366067594,-0.01375728752557882,0.5365552054429826,1.0284026704982454,0.0957246311284271,False
0.02894736842105263,0.518421052631579,0.01694396072038949,0.030334567466189188,-0.013390606745799699,0.558569385875542,1.0715319084909691,0.0972165334526385,False
