Normalized_Position_s,Alpha_Healthy,Alpha_Scoliotic,Stiffness_Healthy,Stiffness_Scoliotic,Lateral_Defect_Magnitude
0.20202020202020204,0.9822474092287109,0.9819719938393242,0.9718479783492117,0.9714151973478222,0.023685905841256245
0.21212121212121213,0.9816304919950294,0.9812388795164885,0.9708787382515227,0.970263790939819,0.02825525377502812
0.22222222222222224,0.9811497885581861,0.980597943862707,0.9701239260702187,0.969257862006215,0.03355359340379414
0.23232323232323235,0.9808124220139873,0.9800417620209825,0.9695944057415552,0.9683854842441536,0.03966518409176756
0.24242424242424243,0.9806233721834635,0.9795568145942187,0.9692977584579741,0.9676252424143781,0.04667781543267284
0.25252525252525254,0.980585422656256,0.9791226824513403,0.9692382169007586,0.9669449818325665,0.05468172193543937
0.26262626262626265,0.9806991316041983,0.9787112401986944,0.9694166293833829,0.9663005533530131,0.06376824331772646
0.27272727272727276,0.9809628259646515,0.9782858979943003,0.9698304527396441,0.9656346385716117,0.07402822492673763
0.2828282828282829,0.9813726189112308,0.9778009625722374,0.9704737737189503,0.9648757779257552,0.08555016075084793
0.29292929292929293,0.9819224508567357,0.9772012115481749,0.9713373595971988,0.9639377662809766,0.09841809069118901
0.30303030303030304,0.9826041545330332,0.9764217979858149,0.9724087396044616,0.9627196220654811,0.11270927403811377
0.31313131313131315,0.98340754492974,0.9753886211354404,0.9736723195397909,0.9611063697923966,0.128491672168318
0.32323232323232326,0.9843205350137899,0.974019309028358,0.9751095325198669,0.9589708914880639,0.14582128498659164
0.33333333333333337,0.9853292781642932,0.9722249527543367,0.9766990291262136,0.9561770870065378,0.16473939714735908
0.3434343434343435,0.9864183381147915,0.9699127037683659,0.9784169102153177,0.9525845223450096,0.18526980110577862
0.3535353535353536,0.9875708868776524,0.9669892884501944,0.9802370052866503,0.9480546271819306,0.20741607401832363
0.36363636363636365,0.9887689306208503,0.963365405588538,0.9821311985288798,0.9424583237478147,0.23115899386434005
0.37373737373737376,0.9899935627743558,0.9589608556170792,0.9840698034677299,0.9356847380846725,0.2564541863194572
0.38383838383838387,0.9912252427731802,0.9537101166986818,0.9860219855286001,0.9276503893547305,0.2832300973360395
0.393939393939394,0.9924440978228076,0.9475679526275754,0.9879562298426612,0.918308019877452,0.3113863865953954
0.4040404040404041,0.9936302439418722,0.9405145385699752,0.9898408493407875,0.9076540778091948,0.34079283360743184
0.4141414141414142,0.9947641213534896,0.9325595520555278,0.991644525705744,0.8957338545040053,0.37128884098932374
0.42424242424242425,0.995826838131296,0.9237447207939204,0.9933368732340596,0.8826434473557104,0.40268360825376653
0.43434343434343436,0.9968005149398982,0.9141444527268903,0.994889013267557,0.8685280643610767,0.43475703435423374
0.4444444444444445,0.99766862282809,0.9038643829083463,0.9962741447805581,0.8535766581522284,0.4672613885346992
0.4545454545454546,0.99841630542094,0.8930379213667863,0.9974680951443198,0.8380133831992882,0.4999237671750309
0.4646464646464647,0.9990306765884192,0.8818211283508106,0.9984498342117717,0.8220868019247175,0.5324493299605297
0.4747474747474748,0.9995010848005051,0.8703864308982732,0.9992019348139093,0.8060580312734675,0.5645252826568667
0.48484848484848486,0.9998193359436751,0.8589157937835864,0.9997109636214812,0.7901890726487106,0.5958255470059369
0.494949494949495,0.9999798673727192,0.8475939571502356,0.9999677881206088,0.7747324129580763,0.6260160318452954
0.5050505050505051,0.9999798673727192,0.8366022642929568,0.9999677881206088,0.7599226788960819,0.6547603946234711
0.5151515151515152,0.9998193359436751,0.826113454818944,0.9997109636214812,0.7459707521863133,0.6817261601695316
0.5252525252525253,0.9995010848005051,0.8162876262782528,0.9992019348139093,0.7330603910519876,0.7065910449585896
0.5353535353535354,0.9990306765884192,0.8072694037027653,0.9984498342117717,0.7213471121236947,0.7290493211651234
0.5454545454545455,0.99841630542094,0.7991862240816731,0.9974680951443198,0.7109588966095377,0.7488180463163321
0.5555555555555556,0.99766862282809,0.7921475525708795,0.9962741447805581,0.7019981960352275,0.7656429819366927
0.5656565656565657,0.9968005149398982,0.786244799770291,0.994889013267557,0.69454470813266,0.7793040285468092
0.5757575757575758,0.995826838131296,0.7815516983657246,0.9933368732340596,0.6886584457746788,0.7896200147982823
0.5858585858585859,0.9947641213534896,0.7781249133233986,0.991644525705744,0.6843827045876373,0.796452695152575
0.595959595959596,0.9936302439418719,0.7760046930243875,0.9898408493407872,0.6817466268766991,0.79970983281701
0.6060606060606061,0.9924440978228076,0.7752154113600589,0.9879562298426612,0.6807671472081163,0.7993472718363274
0.6161616161616162,0.9912252427731802,0.7757658975056937,0.9860219855286001,0.6814501821862515,0.7953699332691464
0.6262626262626263,0.9899935627743558,0.7776494979047535,0.9840698034677299,0.6837909932732121,0.7878317040328888
0.6363636363636365,0.9887689306208503,0.7808438628306921,0.9821311985288798,0.6877737104962853,0.7768342219268907
0.6464646464646465,0.9875708868776524,0.7853104976446393,0.9802370052866503,0.6933700621686969,0.7625245951273272
0.6565656565656566,0.9864183381147915,0.7909941664844593,0.9784169102153177,0.7005374171299557,0.7450921276820278
0.6666666666666667,0.9853292781642932,0.7978222826580137,0.9766990291262136,0.7092163157645148,0.7247641528876074
0.6767676767676768,0.9843205350137899,0.8057044627887406,0.9751095325198669,0.7193277450861546,0.7018011027164377
0.686868686868687,0.98340754492974,0.8145324557725315,0.9736723195397909,0.7307704972054648,0.6764909626860232
0.696969696969697,0.9826041545330332,0.8241806754463151,0.9724087396044616,0.7434190286233153,0.6491432769812788
0.7070707070707072,0.9819224508567357,0.834507558456136,0.9713373595971988,0.757122292096337,0.6200828777792041
0.7171717171717172,0.9813726189112308,0.8453579271755949,0.9704737737189503,0.7717040200308947,0.5896435154052345
0.7272727272727273,0.9809628259646515,0.8565664557046673,0.9698304527396441,0.7869648744307646,0.5581615622824081
0.7373737373737375,0.9806991316041983,0.8679622155871025,0.9694166293833829,0.8026867261494974,0.5259699540062425
