chi_kappa,L,P_cost,S_supply,R_deficit,In_Deficit
0.060000000000000005,0.3631578947368421,0.27085321848623795,0.19301484850613185,1.4032765902859192,True
0.060000000000000005,0.3894736842105263,0.2708532184862378,0.2027022458833076,1.3362122225432254,True
0.060000000000000005,0.4157894736842105,0.27085321848623795,0.2121950851949784,1.2764349289115755,True
0.060000000000000005,0.44210526315789467,0.270853218486238,0.22150924509292919,1.2227625911171685,True
0.060000000000000005,0.46842105263157896,0.27085321848623795,0.230658445819788,1.1742610053735203,True
0.060000000000000005,0.49473684210526314,0.27085321848623795,0.23965464685273533,1.1301813757555628,True
0.060000000000000005,0.5210526315789473,0.27085321848623795,0.24850835410157143,1.0899159485621703,True
0.060000000000000005,0.5473684210526315,0.270853218486238,0.2572288607522977,1.052965898515797,True
0.060000000000000005,0.5736842105263158,0.2708532184862379,0.2658244385823452,1.018917673373868,True
0.060000000000000005,0.6,0.2708532184862378,0.27430249173193366,0.9874252937918379,False
0.06999999999999999,0.1,0.3686613251618239,0.078257122951284,4.710898014885112,True
0.06999999999999999,0.12631578947368421,0.3686613251618238,0.0921603734596511,4.0002151827566985,True
0.06999999999999999,0.15263157894736842,0.36866132516182376,0.10521434485899063,3.5039074344463916,True
0.06999999999999999,0.17894736842105263,0.3686613251618237,0.11760657399541748,3.134699980089451,True
0.06999999999999999,0.20526315789473684,0.36866132516182387,0.12946178230954772,2.847645989303172,True
0.06999999999999999,0.23157894736842105,0.36866132516182376,0.14086828596948178,2.6170640369805587,True
0.06999999999999999,0.2578947368421053,0.3686613251618238,0.15189154959270423,2.427135190538155,True
0.06999999999999999,0.28421052631578947,0.36866132516182376,0.162581822900903,2.267543311939186,True
0.06999999999999999,0.31052631578947365,0.36866132516182376,0.1729787541762347,2.1312520541466218,True
0.06999999999999999,0.3368421052631579,0.36866132516182376,0.18311433265185337,2.0132849232656307,True
0.06999999999999999,0.3631578947368421,0.36866132516182376,0.19301484850613185,1.9100153590002784,True
0.06999999999999999,0.3894736842105263,0.36866132516182365,0.2027022458833076,1.8187333029060566,True
0.06999999999999999,0.4157894736842105,0.3686613251618237,0.2121950851949784,1.7373697643518657,True
0.06999999999999999,0.44210526315789467,0.3686613251618238,0.22150924509292919,1.6643157490205898,True
0.06999999999999999,0.46842105263157896,0.3686613251618237,0.230658445819788,1.598299701758402,True
0.06999999999999999,0.49473684210526314,0.36866132516182376,0.23965464685273533,1.5383024281117377,True
0.06999999999999999,0.5210526315789473,0.36866132516182376,0.24850835410157143,1.483496707765176,True
0.06999999999999999,0.5473684210526315,0.36866132516182376,0.2572288607522977,1.4332035840909452,True
0.06999999999999999,0.5736842105263158,0.36866132516182376,0.2658244385823452,1.3868601665366536,True
0.06999999999999999,0.6,0.36866132516182354,0.27430249173193366,1.3439955387722233,True
0.08,0.1,0.4815168328644233,0.078257122951284,6.153009652094844,True
0.08,0.12631578947368421,0.48151683286442293,0.0921603734596511,5.224770850947524,True
0.08,0.15263157894736842,0.481516832864423,0.10521434485899063,4.576532159276921,True
0.08,0.17894736842105263,0.481516832864423,0.11760657399541748,4.094302014810713,True
0.08,0.20526315789473684,0.4815168328644232,0.12946178230954772,3.7193743533755725,True
0.08,0.23157894736842105,0.48151683286442315,0.14086828596948178,3.418206089117466,True
0.08,0.2578947368421053,0.48151683286442293,0.15189154959270423,3.1701357590702433,True
0.08,0.28421052631578947,0.4815168328644229,0.162581822900903,2.961689223757304,True
0.08,0.31052631578947365,0.48151683286442293,0.1729787541762347,2.7836761523547717,True
0.08,0.3368421052631579,0.4815168328644229,0.18311433265185337,2.629596634469395,True
0.08,0.3631578947368421,0.48151683286442276,0.19301484850613185,2.4947139382860772,True
0.08,0.3894736842105263,0.4815168328644228,0.2027022458833076,2.375488395632401,True
0.08,0.4157894736842105,0.48151683286442293,0.2121950851949784,2.269217651398356,True
0.08,0.44210526315789467,0.48151683286442293,0.22150924509292919,2.173800161986076,True
0.08,0.46842105263157896,0.48151683286442304,0.230658445819788,2.0875751206640363,True
0.08,0.49473684210526314,0.481516832864423,0.23965464685273533,2.009211334676556,True
0.08,0.5210526315789473,0.481516832864423,0.24850835410157143,1.9376283529994138,True
0.08,0.5473684210526315,0.48151683286442304,0.2572288607522977,1.8719393751391944,True
0.08,0.5736842105263158,0.4815168328644229,0.2658244385823452,1.8114091971090986,True
0.08,0.6,0.4815168328644227,0.27430249173193366,1.7554227445188229,True
0.09,0.1,0.6094197415940357,0.078257122951284,7.787402840932535,True
0.09,0.12631578947368421,0.6094197415940352,0.0921603734596511,6.61260060823046,True
0.09,0.15263157894736842,0.6094197415940354,0.10521434485899063,5.792173514084854,True
0.09,0.17894736842105263,0.6094197415940353,0.11760657399541748,5.181850987494808,True
0.09,0.20526315789473684,0.6094197415940357,0.12946178230954772,4.70733316599096,True
0.09,0.23157894736842105,0.6094197415940353,0.14086828596948178,4.326167081539292,True
0.09,0.2578947368421053,0.6094197415940354,0.15189154959270423,4.012203070073277,True
0.09,0.28421052631578947,0.6094197415940352,0.162581822900903,3.748387923817838,True
0.09,0.31052631578947365,0.6094197415940352,0.1729787541762347,3.523090130324008,True
0.09,0.3368421052631579,0.6094197415940352,0.18311433265185337,3.3280832405003284,True
0.09,0.3631578947368421,0.6094197415940351,0.19301484850613185,3.157372328143317,True
0.09,0.3894736842105263,0.609419741594035,0.2027022458833076,3.006477500722257,True
0.09,0.4157894736842105,0.6094197415940352,0.2121950851949784,2.871978590051044,True
0.09,0.44210526315789467,0.6094197415940353,0.22150924509292919,2.7512158300136282,True
0.09,0.46842105263157896,0.6094197415940353,0.230658445819788,2.6420872620904206,True
0.09,0.49473684210526314,0.6094197415940352,0.23965464685273533,2.5429080954500156,True
0.09,0.5210526315789473,0.6094197415940352,0.24850835410157143,2.452310884264883,True
0.09,0.5473684210526315,0.6094197415940352,0.2572288607522977,2.369173271660542,True
0.09,0.5736842105263158,0.6094197415940354,0.2658244385823452,2.2925647650912038,True
0.09,0.6,0.6094197415940348,0.27430249173193366,2.2217069110316343,True
0.09999999999999999,0.1,0.7523700513506612,0.078257122951284,9.61407758139819,True
0.09999999999999999,0.12631578947368421,0.7523700513506606,0.0921603734596511,8.163704454605504,True
0.09999999999999999,0.15263157894736842,0.752370051350661,0.10521434485899063,7.15083149887019,True
0.09999999999999999,0.17894736842105263,0.7523700513506606,0.11760657399541748,6.397346898141737,True
0.09999999999999999,0.20526315789473684,0.7523700513506609,0.12946178230954772,5.81152242714933,True
0.09999999999999999,0.23157894736842105,0.7523700513506609,0.14086828596948178,5.340947014246039,True
0.09999999999999999,0.2578947368421053,0.7523700513506608,0.15189154959270423,4.953337123547255,True
0.09999999999999999,0.28421052631578947,0.7523700513506605,0.162581822900903,4.627639412120786,True
0.09999999999999999,0.31052631578947365,0.7523700513506606,0.1729787541762347,4.34949398805433,True
0.09999999999999999,0.3368421052631579,0.7523700513506607,0.18311433265185337,4.1087447413584295,True
0.09999999999999999,0.3631578947368421,0.7523700513506606,0.19301484850613185,3.897990528571996,True
0.09999999999999999,0.3894736842105263,0.7523700513506604,0.2027022458833076,3.7117006181756254,True
0.09999999999999999,0.4157894736842105,0.7523700513506606,0.2121950851949784,3.54565258030993,True
0.09999999999999999,0.44210526315789467,0.7523700513506609,0.22150924509292919,3.3965627531032445,True
0.09999999999999999,0.46842105263157896,0.7523700513506607,0.230658445819788,3.2618361260375557,True
0.09999999999999999,0.49473684210526314,0.7523700513506608,0.23965464685273533,3.139392710432118,True
0.09999999999999999,0.5210526315789473,0.7523700513506609,0.24850835410157143,3.0275443015615844,True
0.09999999999999999,0.5473684210526315,0.7523700513506607,0.2572288607522977,2.92490527365499,True
0.09999999999999999,0.5736842105263158,0.7523700513506607,0.2658244385823452,2.8303268704829665,True
0.09999999999999999,0.6,0.7523700513506602,0.27430249173193366,2.7428480383106595,True
0.11,0.1,0.9103677621343,0.078257122951284,11.63303387349181,True
0.11,0.12631578947368421,0.9103677621342995,0.0921603734596511,9.878082390072663,True
0.11,0.15263157894736842,0.9103677621342999,0.10521434485899063,8.652506113632931,True
0.11,0.17894736842105263,0.9103677621342995,0.11760657399541748,7.740789746751503,True
0.11,0.20526315789473684,0.9103677621342998,0.12946178230954772,7.03194213685069,True
0.11,0.23157894736842105,0.9103677621342998,0.14086828596948178,6.462545887237708,True
0.11,0.2578947368421053,0.9103677621342997,0.15189154959270423,5.993537919492179,True
0.11,0.28421052631578947,0.9103677621342996,0.162581822900903,5.599443688666153,True
0.11,0.31052631578947365,0.9103677621342996,0.1729787541762347,5.26288772554574,True
0.11,0.3368421052631579,0.9103677621342996,0.18311433265185337,4.9715811370437,True
0.11,0.3631578947368421,0.9103677621342995,0.19301484850613185,4.7165685395721155,True
0.11,0.3894736842105263,0.9103677621342992,0.2027022458833076,4.491157747992507,True
0.11,0.4157894736842105,0.9103677621342996,0.2121950851949784,4.290239622175017,True
0.11,0.44210526315789467,0.9103677621342997,0.22150924509292919,4.109840931254926,True
0.11,0.46842105263157896,0.9103677621342995,0.230658445819788,3.9468217125054426,True
0.11,0.49473684210526314,0.9103677621342997,0.23965464685273533,3.7986651796228634,True
0.11,0.5210526315789473,0.9103677621342997,0.24850835410157143,3.6633286048895166,True
0.11,0.5473684210526315,0.9103677621342998,0.2572288607522977,3.5391353811225392,True
0.11,0.5736842105263158,0.9103677621342995,0.2658244385823452,3.4246955132843895,True
0.11,0.6,0.910367762134299,0.27430249173193366,3.318846126355899,True
0.12,0.1,1.083412873944952,0.078257122951284,13.844271717213392,True
