Age_Years,Growth_Velocity_cm_yr,Spinal_Length_cm,Energy_Supply_L2,Energy_Demand_L4,Energy_Balance,Mechanosensory_Fidelity
9.666666666666666,5.0304155970317055,44.50473980912427,2.402378220071225,1.5254453099029304,0.8769329101682946,1.0
9.75,5.0378783872212995,44.67266908869831,2.420542162786942,1.53705245756105,0.8834897052258919,1.0
9.833333333333332,5.04694531036205,44.840900599043714,2.438807389609086,1.5487690470312048,0.8900383425778813,1.0
9.916666666666666,5.057902664786458,45.00949735453659,2.4571811507787507,1.560600665604412,0.8965804851743386,1.0
10.0,5.071073956033685,45.17853315307105,2.47567198231388,1.5725538125213818,0.9031181697924984,1.0
10.083333333333332,5.08682164874367,45.34809387469584,2.4942898716486783,1.5846360246854827,0.9096538469631956,1.0
10.166666666666666,5.105548282268355,45.518278817438116,2.5130464309224054,1.5968560105064005,0.916190420416005,1.0
10.25,5.127696770016909,45.68920204310535,2.5319550751356505,1.6092237903554008,0.9227312847802498,1.0
10.333333333333332,5.153749692620077,45.86099369952602,2.55103120163106,1.6217508415890238,0.9292803600420361,1.0
10.416666666666666,5.184227390928088,46.033801279223624,2.5702923665595767,1.6344502455365353,0.9358421210230414,1.0
10.5,5.219684668117037,46.207790768160855,2.58975845318814,1.647336833262507,0.9424216199256332,1.0
10.583333333333332,5.260705922169079,46.38314763223316,2.609451826121537,1.660427326328208,0.9490244997933288,1.0
10.666666666666666,5.307898551943427,46.560077583964606,2.6293974647857254,1.6737404682061272,0.9556569965795982,1.0
10.75,5.361884512926192,46.738807067728814,2.6496230688924802,1.687297141475692,0.9623259274167881,1.0
10.833333333333332,5.423289943112649,46.9195833991659,2.6701591281183044,1.7011204654718126,0.9690386626464917,1.0
10.916666666666666,5.492732835419972,47.1026744936799,2.691038947927808,1.7152358686986204,0.9758030792291876,1.0
11.0,5.570808800048434,47.28836812034818,2.7122986233958306,1.7296711300856686,0.982627493310162,1.0
11.083333333333332,5.658075037134098,47.476970621585984,2.733976953072572,1.744456383077888,0.9895205699946841,1.0
11.166666666666666,5.755032724977545,47.6688050457519,2.7561152854257522,1.7596240766357347,0.9964912087900175,1.0
11.25,5.862108119468764,47.864208649734195,2.7787572912088843,1.7752088874956122,1.003548403713272,1.0
11.333333333333332,5.9796327527285005,48.063529741491806,2.8019486562609415,1.7912475785151964,1.010701077745745,1.0
