chi_kappa,L,R_deficit
0.0905,0.3289,3.4235
0.0905,0.3447,3.313
0.0905,0.3605,3.2107
0.0905,0.3763,3.1158
0.0905,0.3921,3.0274
0.0905,0.4079,2.9449
0.0905,0.4237,2.8677
0.0905,0.4395,2.7951
0.0905,0.4553,2.7269
0.0905,0.4711,2.6626
0.0905,0.4868,2.6019
0.0905,0.5026,2.5444
0.0905,0.5184,2.4899
0.0905,0.5342,2.4381
0.0905,0.55,2.3889
0.0953,0.25,4.5941
0.0953,0.2658,4.4013
0.0953,0.2816,4.2271
0.0953,0.2974,4.0687
0.0953,0.3132,3.9239
0.0953,0.3289,3.7911
0.0953,0.3447,3.6687
0.0953,0.3605,3.5555
0.0953,0.3763,3.4504
0.0953,0.3921,3.3526
0.0953,0.4079,3.2612
0.0953,0.4237,3.1756
0.0953,0.4395,3.0953
0.0953,0.4553,3.0198
0.0953,0.4711,2.9486
0.0953,0.4868,2.8813
0.0953,0.5026,2.8176
0.0953,0.5184,2.7573
0.0953,0.5342,2.7
0.0953,0.55,2.6455
0.1,0.25,5.0623
0.1,0.2658,4.8499
0.1,0.2816,4.6579
0.1,0.2974,4.4833
0.1,0.3132,4.3239
0.1,0.3289,4.1775
0.1,0.3447,4.0427
0.1,0.3605,3.9179
0.1,0.3763,3.8021
0.1,0.3921,3.6942
0.1,0.4079,3.5936
0.1,0.4237,3.4993
0.1,0.4395,3.4108
0.1,0.4553,3.3275
0.1,0.4711,3.2491
0.1,0.4868,3.1749
0.1,0.5026,3.1048
0.1,0.5184,3.0383
0.1,0.5342,2.9752
0.1,0.55,2.9151
